study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	fastq_bytes	fastq_ftp
PRJNA396019	SAMN07457099	SRS2412441	SRX3067795	SRR5906250	9606	Homo sapiens	Illumina HiSeq 4000	KTN102Blood	PAIRED	46088894;3107017681;3884543372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5906250/SRR5906250.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5906250/SRR5906250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5906250/SRR5906250_2.fastq.gz
PRJNA396019	SAMN07457098	SRS2412440	SRX3067794	SRR5906251	9606	Homo sapiens	Illumina HiSeq 4000	KTN102OP	PAIRED	55533991;3032757154;3772164832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5906251/SRR5906251.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5906251/SRR5906251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/001/SRR5906251/SRR5906251_2.fastq.gz
PRJNA396019	SAMN07457097	SRS2412442	SRX3067793	SRR5906252	9606	Homo sapiens	Illumina HiSeq 4000	KTN1022	PAIRED	43518505;2498303748;3015988613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5906252/SRR5906252.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5906252/SRR5906252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/002/SRR5906252/SRR5906252_2.fastq.gz
PRJNA396019	SAMN07457096	SRS2412443	SRX3067792	SRR5906253	9606	Homo sapiens	Illumina HiSeq 4000	KTN1020	PAIRED	41991292;3179486152;3911231851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5906253/SRR5906253.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5906253/SRR5906253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/003/SRR5906253/SRR5906253_2.fastq.gz
PRJNA396019	SAMN07459290	SRS2414194	SRX3069884	SRR5908305	9606	Homo sapiens	Illumina HiSeq 4000	KTN3172	PAIRED	42398399;3863563487;4153613898	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908305/SRR5908305.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908305/SRR5908305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/005/SRR5908305/SRR5908305_2.fastq.gz
PRJNA396019	SAMN07459289	SRS2414195	SRX3069883	SRR5908306	9606	Homo sapiens	Illumina HiSeq 4000	KTN3170	PAIRED	34931522;3733758434;4054891198	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908306/SRR5908306.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908306/SRR5908306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/006/SRR5908306/SRR5908306_2.fastq.gz
PRJNA396019	SAMN07459292	SRS2414197	SRX3069882	SRR5908307	9606	Homo sapiens	Illumina HiSeq 4000	KTN317Blood	PAIRED	29361760;3835604697;4189958091	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908307/SRR5908307.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908307/SRR5908307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/007/SRR5908307/SRR5908307_2.fastq.gz
PRJNA396019	SAMN07459291	SRS2414196	SRX3069881	SRR5908308	9606	Homo sapiens	Illumina HiSeq 4000	KTN317OP	PAIRED	26469000;3771236644;3561900733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908308/SRR5908308.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908308/SRR5908308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/008/SRR5908308/SRR5908308_2.fastq.gz
PRJNA396019	SAMN07459294	SRS2414199	SRX3069880	SRR5908309	9606	Homo sapiens	Illumina HiSeq 4000	KTN316OP	PAIRED	71813090;7800699594;8404305169	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908309/SRR5908309.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908309/SRR5908309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/009/SRR5908309/SRR5908309_2.fastq.gz
PRJNA396019	SAMN07459293	SRS2414198	SRX3069879	SRR5908310	9606	Homo sapiens	Illumina HiSeq 4000	KTN3160	PAIRED	44581184;4678254174;5056169161	ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908310/SRR5908310.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908310/SRR5908310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR590/000/SRR5908310/SRR5908310_2.fastq.gz
