president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,9/6/2021,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.33818752,0,48,45,50.575306,38.697009,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,.10166641,0,56,31,54.565113,34.400303,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/22/2021,Morning Consult,B,15000,a,.25505874,0,51,28,49.565113,31.400303,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,46.487993,28.480212,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55,32,53.827298,33.004755,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1776436,0,48,47,50.575306,40.697009,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,58.596756,37.746765,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/21/2021,1/23/2021,Morning Consult,B,15000,a,.23107525,0,52,29,50.565113,32.400303,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,.8806739,0,58,32,56.678015,33.348565,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/20/2021,1/26/2021,Echelon Insights,B/C,1006,rv,1.1879702,0,55,33,54.541638,32.288098,"","",https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.50167279,0,48,47,50.575306,40.697009,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/21/2021,1/24/2021,Monmouth University,A,809,a,1.5307823,0,54,30,54.764454,29.865847,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/22/2021,1/24/2021,Morning Consult,B,15000,a,.21278134,0,53,29,51.565113,32.400303,"",T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/22/2021,1/25/2021,Morning Consult,B,1990,rv,.07896353,0,59,32,57.565113,35.400303,"","",https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/23/2021,1/25/2021,Morning Consult,B,15000,a,.19840083,0,53,30,51.565113,33.400303,"",T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/22/2021,1/25/2021,Data for Progress,B,1164,lv,1.4552095,0,57,36,55.826213,35.451079,"","",https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/22/2021,1/25/2021,Morning Consult,B,2200,a,.08729637,0,56,32,54.565113,35.400303,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,09:56:08  6 Sep 2021
Joseph R. Biden Jr.,All polls,9/6/2021,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.25591397,0,48,48,50.575306,41.697009,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,09:56:08  6 Sep 2021
